"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
15,950;0,72;0,02;-3,24
16,000;0,72;-0,14;-3,21
16,050;0,71;-0,30;-3,10
16,100;0,69;-0,45;-2,91
16,150;0,66;-0,59;-2,62
16,200;0,63;-0,72;-2,24
16,250;0,59;-0,82;-1,77
16,300;0,55;-0,90;-1,20
16,350;0,50;-0,94;-0,57
16,400;0,45;-0,95;0,06
16,450;0,40;-0,93;0,64
16,500;0,36;-0,89;1,23
16,550;0,31;-0,82;1,89
16,600;0,27;-0,70;2,52
16,650;0,24;-0,55;2,97
16,700;0,22;-0,40;3,22
16,750;0,20;-0,23;3,37
16,800;0,19;-0,06;3,43
16,850;0,20;0,12;3,39
16,900;0,21;0,28;3,29
16,950;0,22;0,44;3,11
17,000;0,25;0,60;2,78
17,050;0,29;0,73;2,27
17,100;0,33;0,83;1,68
17,150;0,37;0,90;1,10
17,200;0,42;0,94;0,53
17,250;0,46;0,95;-0,10
17,300;0,51;0,93;-0,75
17,350;0,56;0,88;-1,37
17,400;0,60;0,79;-1,91
17,450;0,64;0,68;-2,36
17,500;0,67;0,55;-2,71
17,550;0,69;0,41;-2,97
17,600;0,71;0,25;-3,13
17,650;0,72;0,09;-3,21
17,700;0,72;-0,07;-3,21
17,750;0,71;-0,23;-3,14
17,800;0,70;-0,39;-2,99
17,850;0,67;-0,53;-2,74
17,900;0,64;-0,67;-2,40
17,950;0,61;-0,78;-1,96
18,000;0,56;-0,86;-1,41
18,050;0,52;-0,92;-0,79
18,100;0,47;-0,94;-0,17
18,150;0,42;-0,94;0,40
18,200;0,38;-0,90;0,94
18,250;0,33;-0,85;1,56
18,300;0,29;-0,75;2,21
18,350;0,26;-0,62;2,77
18,400;0,23;-0,47;3,14
18,450;0,21;-0,30;3,34
18,500;0,20;-0,13;3,41
18,550;0,20;0,05;3,37
18,600;0,20;0,21;3,32
18,650;0,22;0,37;3,22
18,700;0,24;0,54;2,96
18,750;0,27;0,68;2,48
18,800;0,31;0,79;1,89
18,850;0,35;0,87;1,32
18,900;0,40;0,92;0,76
18,950;0,44;0,95;0,16
19,000;0,49;0,94;-0,49
19,050;0,54;0,90;-1,12
19,100;0,58;0,82;-1,69
19,150;0,62;0,72;-2,17
19,200;0,66;0,60;-2,56
19,250;0,68;0,47;-2,85
19,300;0,70;0,32;-3,06
19,350;0,72;0,16;-3,18
19,400;0,72;0,00;-3,21
19,450;0,72;-0,17;-3,17
19,500;0,70;-0,32;-3,04
19,550;0,68;-0,47;-2,83
19,600;0,66;-0,61;-2,53
19,650;0,62;-0,73;-2,14
19,700;0,58;-0,83;-1,66
19,750;0,54;-0,90;-1,07
19,800;0,49;-0,94;-0,44
19,850;0,44;-0,94;0,18
19,900;0,40;-0,92;0,74
19,950;0,35;-0,87;1,31
20,000;0,31;-0,79;1,97
20,050;0,27;-0,67;2,59
20,100;0,24;-0,52;3,00
20,150;0,22;-0,36;3,17
20,200;0,20;-0,20;3,27
20,250;0,20;-0,04;3,38
20,300;0,20;0,14;3,41
20,350;0,21;0,31;3,29
20,400;0,23;0,47;3,06
20,450;0,26;0,62;2,72
20,500;0,29;0,75;2,22
20,550;0,33;0,85;1,57
20,600;0,38;0,91;0,93
20,650;0,43;0,93;0,34
20,700;0,47;0,94;-0,24
20,750;0,52;0,91;-0,86
20,800;0,57;0,85;-1,46
20,850;0,61;0,76;-1,97
20,900;0,64;0,65;-2,40
20,950;0,67;0,52;-2,73
21,000;0,70;0,38;-2,98
21,050;0,71;0,22;-3,13
21,100;0,72;0,06;-3,19
21,150;0,72;-0,10;-3,17
21,200;0,71;-0,26;-3,08
21,250;0,69;-0,41;-2,91
21,300;0,67;-0,55;-2,65
21,350;0,63;-0,68;-2,30
21,400;0,60;-0,79;-1,85
21,450;0,56;-0,87;-1,31
21,500;0,51;-0,92;-0,70
21,550;0,46;-0,94;-0,05
21,600;0,41;-0,92;0,55
21,650;0,37;-0,88;1,10
21,700;0,33;-0,82;1,69
21,750;0,29;-0,72;2,28
21,800;0,25;-0,58;2,79
21,850;0,23;-0,43;3,09
21,900;0,21;-0,27;3,25
21,950;0,20;-0,10;3,34
22,000;0,20;0,07;3,37
